nohup: ignoring input
[05:25:08] Fetched 100 candles.
[05:26:09] Fetched 100 candles.
[05:27:09] Fetched 100 candles.
[05:28:09] Fetched 100 candles.
[05:29:10] Fetched 100 candles.
[05:30:10] Fetched 100 candles.
[05:31:11] Fetched 100 candles.
[05:32:11] Fetched 100 candles.
[05:33:11] Fetched 100 candles.
[05:34:12] Fetched 100 candles.
[05:35:12] Fetched 100 candles.
[05:36:12] Fetched 100 candles.
[05:37:13] Fetched 100 candles.
[05:38:13] Fetched 100 candles.
[05:39:13] Fetched 100 candles.
[05:40:14] Fetched 100 candles.
[05:41:14] Fetched 100 candles.
[05:42:15] Fetched 100 candles.
[05:43:15] Fetched 100 candles.
[05:44:15] Fetched 100 candles.
[05:45:16] Fetched 100 candles.
[05:46:16] Fetched 100 candles.
[05:47:16] Fetched 100 candles.
[05:48:17] Fetched 100 candles.
[05:49:17] Fetched 100 candles.
[05:50:17] Fetched 100 candles.
[05:51:18] Fetched 100 candles.
[05:52:18] Fetched 100 candles.
[05:53:19] Fetched 100 candles.
[05:54:19] Fetched 100 candles.
[05:55:20] Fetched 100 candles.
[05:56:20] Fetched 100 candles.
[05:57:20] Fetched 100 candles.
[05:58:21] Fetched 100 candles.
[05:59:21] Fetched 100 candles.
[06:00:21] Fetched 100 candles.
[06:01:22] Fetched 100 candles.
[06:02:22] Fetched 100 candles.
[06:03:22] Fetched 100 candles.
[06:04:23] Fetched 100 candles.
[06:05:23] Fetched 100 candles.
[06:06:23] Fetched 100 candles.
[06:07:24] Fetched 100 candles.
[06:08:24] Fetched 100 candles.
[06:09:24] Fetched 100 candles.
[06:10:25] Fetched 100 candles.
[06:11:25] Fetched 100 candles.
[06:12:26] Fetched 100 candles.
[06:13:26] Fetched 100 candles.
[06:14:26] Fetched 100 candles.
[06:15:27] Fetched 100 candles.
[06:16:27] Fetched 100 candles.
[06:17:27] Fetched 100 candles.
[06:18:28] Fetched 100 candles.
[06:19:28] Fetched 100 candles.
[06:20:28] Fetched 100 candles.
[06:21:29] Fetched 100 candles.
[06:22:29] Fetched 100 candles.
[06:23:30] Fetched 100 candles.
[06:24:30] Fetched 100 candles.
[06:25:31] Fetched 100 candles.
[06:26:31] Fetched 100 candles.
[06:27:31] Fetched 100 candles.
[06:28:32] Fetched 100 candles.
[06:29:32] Fetched 100 candles.
[06:30:32] Fetched 100 candles.
[06:31:33] Fetched 100 candles.
[06:32:33] Fetched 100 candles.
[06:33:33] Fetched 100 candles.
[06:34:34] Fetched 100 candles.
[06:35:34] Fetched 100 candles.
[06:36:35] Fetched 100 candles.
[06:37:35] Fetched 100 candles.
[06:38:35] Fetched 100 candles.
[06:39:36] Fetched 100 candles.
[06:40:36] Fetched 100 candles.
[06:41:37] Fetched 100 candles.
[06:42:37] Fetched 100 candles.
[06:43:37] Fetched 100 candles.
[06:44:38] Fetched 100 candles.
[06:45:38] Fetched 100 candles.
[06:46:38] Fetched 100 candles.
[06:47:39] Fetched 100 candles.
[06:48:39] Fetched 100 candles.
[06:49:40] Fetched 100 candles.
[06:50:40] Fetched 100 candles.
[06:51:40] Fetched 100 candles.
[06:52:41] Fetched 100 candles.
[06:53:41] Fetched 100 candles.
[06:54:41] Fetched 100 candles.
[06:55:42] Fetched 100 candles.
[06:56:42] Fetched 100 candles.
[06:57:42] Fetched 100 candles.
[06:58:43] Fetched 100 candles.
[06:59:43] Fetched 100 candles.
[07:00:43] Fetched 100 candles.
[07:01:44] Fetched 100 candles.
[07:02:44] Fetched 100 candles.
[07:03:45] Fetched 100 candles.
[07:04:45] Fetched 100 candles.
[07:05:45] Fetched 100 candles.
[07:06:46] Fetched 100 candles.
[07:07:46] Fetched 100 candles.
[07:08:46] Fetched 100 candles.
[07:09:47] Fetched 100 candles.
[07:10:47] Fetched 100 candles.
[07:11:48] Fetched 100 candles.
[07:12:48] Fetched 100 candles.
[07:13:49] Fetched 100 candles.
[07:14:49] Fetched 100 candles.
[07:15:49] Fetched 100 candles.
[07:16:50] Fetched 100 candles.
[07:17:50] Fetched 100 candles.
[07:18:50] Fetched 100 candles.
[07:19:51] Fetched 100 candles.
[07:20:51] Fetched 100 candles.
[07:21:51] Fetched 100 candles.
[07:22:52] Fetched 100 candles.
[07:23:52] Fetched 100 candles.
[07:24:52] Fetched 100 candles.
[07:25:53] Fetched 100 candles.
[07:26:53] Fetched 100 candles.
[07:27:53] Fetched 100 candles.
[07:28:54] Fetched 100 candles.
[07:29:54] Fetched 100 candles.
[07:30:55] Fetched 100 candles.
[07:31:55] Fetched 100 candles.
[07:32:55] Fetched 100 candles.
[07:33:56] Fetched 100 candles.
[07:34:56] Fetched 100 candles.
[07:35:56] Fetched 100 candles.
[07:36:57] Fetched 100 candles.
[07:37:57] Fetched 100 candles.
[07:38:57] Fetched 100 candles.
[07:39:58] Fetched 100 candles.
[07:40:58] Fetched 100 candles.
[07:41:59] Fetched 100 candles.
[07:42:59] Fetched 100 candles.
[07:44:00] Fetched 99 candles.
[07:45:00] Fetched 100 candles.
[07:46:00] Fetched 100 candles.
[07:47:01] Fetched 100 candles.
[07:48:01] Fetched 100 candles.
[07:49:02] Fetched 100 candles.
